country,total_cases,confirmed,new_cases,deaths,new_deaths,recovered,active,active_cases,critical,total_tests,total_tests_per_million,total_cases_per_million,total_deaths_per_million,population
S. Korea,179203,179203,1252,2058,1,159630,17515,17515,185,11202434,0,3492,40,51315308
Nigeria,169532,169532,0,2127,0,164699,2706,2706,11,2362757,0,802,10,211450902
North Macedonia,155922,155922,0,5487,0,150170,265,265,0,930540,0,74844,2634,2083285
Algeria,153309,153309,0,3938,0,105604,43767,43767,45,230861,0,3432,88,44675623
Kyrgyzstan,149029,149029,0,2175,0,125161,21693,21693,102,1444540,0,22457,328,6636329
Mongolia,148424,148424,1171,740,6,134101,13583,13583,192,3412005,0,44528,222,3333293
Afghanistan,141499,141499,0,6213,0,88600,46686,46686,1124,679622,0,3552,156,39840269
Latvia,138184,138184,25,2544,1,135125,515,515,15,3042466,0,74119,1365,1864355
Norway,134339,134339,0,796,0,88952,44591,44591,5,6297861,0,24579,146,5465491
Albania,132686,132686,0,2456,0,130074,156,156,3,916777,0,46160,854,2874511
Estonia,131882,131882,34,1271,0,128113,2498,2498,5,1587784,0,99349,957,1327468
Uzbekistan,119388,119388,0,796,0,114303,4289,4289,23,1377915,0,3514,23,33974765
Namibia,112160,112160,0,2506,0,87313,22341,22341,114,587323,0,43325,968,2588823
Montenegro,100662,100662,0,1623,0,98676,363,363,6,477627,0,160252,2584,628149
Finland,100312,100312,156,978,0,46000,53334,53334,12,5671731,0,18075,176,5549716
Mozambique,99412,99412,0,1118,0,76716,21578,21578,32,670062,0,3091,35,32164985
Ghana,98817,98817,0,812,0,95147,2858,2858,12,1357389,0,3113,26,31747892
Cyprus,91196,91196,0,385,0,73452,17359,17359,48,8861809,0,74964,316,1216535
Uganda,90391,90391,0,2353,0,67114,20924,20924,849,1424270,0,1913,50,47240053
Botswana,86133,86133,0,1274,0,73380,11479,11479,1,1394594,0,35873,531,2401046
Zimbabwe,83619,83619,0,2622,0,53453,27544,27544,33,955688,0,5542,174,15088428
El Salvador,82852,82852,0,2492,0,75136,5224,5224,86,1106352,0,12707,382,6520388
Cameroon,81467,81467,0,1330,0,78224,1913,1913,152,1751774,0,2992,49,27232772
Maldives,75879,75879,0,216,0,73226,2437,2437,11,1102344,0,137847,392,550459
Luxembourg,72759,72759,0,820,0,70150,1789,1789,5,3184059,0,114295,1288,636588
Cambodia,67971,67971,790,1128,22,60017,6826,6826,0,1640231,0,4008,67,16960165
Singapore,63245,63245,172,36,0,62526,683,683,1,14751144,0,10722,6,5898371
Rwanda,57322,57322,0,649,0,40041,16632,16632,72,1887262,0,4314,49,13285989
Vietnam,55845,55845,2015,254,0,10667,44924,44924,0,8434266,0,568,3,98252577
Senegal,52096,52096,0,1220,0,43311,7565,7565,31,608814,0,3028,71,17202436
Jamaica,51135,51135,0,1155,0,46316,3664,3664,10,470899,0,17190,388,2974668
Ivory Coast,49196,49196,0,320,0,48445,431,431,0,751373,0,1818,12,27057320
DRC,46009,46009,0,1018,0,29205,15786,15786,0,236885,0,498,11,92387839
Malawi,43470,43470,0,1338,0,34922,7210,7210,285,301633,0,2213,68,19643691
Madagascar,42536,42536,0,937,0,40916,683,683,33,222031,0,1496,33,28430881
Angola,40805,40805,0,957,0,34755,5093,5093,8,681443,0,1203,28,33927337
Sudan,37138,37138,0,2776,0,30867,3495,3495,0,234414,0,827,62,44913965
Trinidad and Tobago,36017,36017,0,992,0,29245,5780,5780,22,250060,0,25649,706,1404223
Cabo Verde,33302,33302,0,295,0,32455,552,552,23,191505,0,59226,525,562286
Réunion,33295,33295,0,256,0,30781,2258,2258,40,103924,0,36913,284,901983
Malta,32470,32470,0,420,0,30218,1832,1832,0,1041418,0,73333,949,442772
Australia,32015,32015,116,914,0,29594,1507,1507,18,22963165,0,1240,35,25808468
French Guiana,28803,28803,0,163,0,9995,18645,18645,27,306493,0,93904,531,306728
Syria,25834,25834,0,1905,0,21915,2014,2014,0,103566,0,1440,106,17942665
Gabon,25260,25260,0,162,0,24973,125,125,7,936707,0,11077,71,2280347
Guinea,24668,24668,0,188,0,23571,909,909,24,487849,0,1827,14,13502885
Suriname,24272,24272,0,611,0,20299,3362,3362,29,86906,0,40992,1032,592117
Mauritania,22637,22637,0,509,0,20736,1392,1392,16,339971,0,4739,107,4776661
Guyana,21562,21562,0,512,0,19834,1216,1216,13,209894,0,27276,648,790516
Eswatini,21132,21132,0,712,0,18887,1533,1533,10,238067,0,18020,607,1172696
Haiti,19547,19547,0,508,0,13034,6005,6005,0,95209,0,1693,44,11547486
Mayotte,19450,19450,0,174,0,2964,16312,16312,0,176919,0,69549,622,279659
French Polynesia,19085,19085,0,144,0,18887,54,54,0,26355,0,67533,510,282604
Fiji,17514,17514,0,98,0,3765,13651,13651,40,268227,0,19390,108,903227
Guadeloupe,17373,17373,0,236,0,2250,14887,14887,23,237834,0,43411,590,400196
Papua New Guinea,17340,17340,0,179,0,16975,186,186,7,136187,0,1901,20,9123474
Seychelles,17234,17234,0,81,0,16322,831,831,0,21504,0,174111,818,98983
Taiwan,15429,15429,21,769,1,13570,1090,1090,0,3208128,0,647,32,23861828
Somalia,15123,15123,0,781,0,7275,7067,7067,0,163432,0,925,48,16353799
Togo,14649,14649,0,138,0,13838,673,673,0,385809,0,1727,16,8480500
Mali,14513,14513,0,530,0,11870,2113,2113,0,332641,0,696,25,20856561
Andorra,14273,14273,0,127,0,13844,302,302,0,193595,0,184420,1641,77394
Tajikistan,14078,14078,0,110,0,13685,283,283,0,0,0,1442,11,9760475
Belize,13683,13683,0,332,0,13035,316,316,2,171024,0,33773,819,405145
Burkina Faso,13536,13536,0,169,0,13340,27,27,0,201923,0,630,8,21498727
Bahamas,13404,13404,0,273,0,12066,1065,1065,2,113323,0,33749,687,397165
Martinique,13371,13371,0,99,0,98,13174,13174,1,209713,0,35660,264,374961
Congo,12933,12933,0,172,0,11759,1002,1002,0,158304,0,2285,30,5659288
Curaçao,12775,12775,0,126,0,12244,405,405,4,156505,0,77521,765,164794
